"gene_id","SAMEA4497164_output_filtered.bam","SAMEA4497165_output_filtered.bam","SAMEA4497166_output_filtered.bam","SAMEA4497167_output_filtered.bam"
"PVP01_1114900",1059,650,847,1205
"PVP01_0706500",882,753,585,1029
"PVP01_0927400",4588,3955,4640,3258
"PVP01_1016800",1207,1330,796,1342
"PVP01_1332200",1019,542,1299,954
"PVP01_1400600",26,35,232,19
"PVP01_1016500",45,43,162,100
"PVP01_0516500",230,168,237,272
"PVP01_API00500",0,0,0,0
"PVP01_1462500",5,0,4,2
"PVP01_1230500",3823,4287,3519,3896
"PVP01_1260000",169,71,354,111
"PVP01_0414400",3192,2708,3275,4368
"PVP01_1256000",195,133,251,186
"PVP01_1236000",1735,1135,2055,1888
"PVP01_0424400",0,0,0,0
"PVP01_0010660",0,0,0,0
"PVP01_1471500",334,167,141,196
"PVP01_1215100",4861,3821,4103,7071
"PVP01_0840600",0,0,0,0
"PVP01_0008840",0,0,0,0
"PVP01_0211000",440,445,798,790
"PVP01_0004500",0,0,0,0
"PVP01_0603100",2237,2961,2268,2889
"PVP01_1314000",559,409,960,654
"PVP01_0935300",2173,1710,2971,2647
"PVP01_0702000",1531,906,1424,1349
"PVP01_0001160",0,0,0,0
"PVP01_0001310",0,0,0,0
"PVP01_1249300",4339,6416,5581,7739
"PVP01_0317800",95,64,30,72
"PVP01_1131900",288,74,152,255
"PVP01_0002780",0,0,0,0
"PVP01_1214200",2579,2605,2828,2651
"PVP01_1449900",53,21,43,38
"PVP01_1146200",328,118,721,86
"PVP01_0002300",0,0,0,0
"PVP01_1103600",3107,2505,3552,2839
"PVP01_0724800",12716,11079,10305,13932
"PVP01_1239200",992,645,1435,1394
"PVP01_1470800",17,14,54,13
"PVP01_1001200",90,98,154,137
"PVP01_0930400",591,472,574,534
"PVP01_0726650",615,368,539,637
"PVP01_1012400",118,72,133,123
"PVP01_0006630",0,0,0,0
"PVP01_1133100",434,458,373,501
"PVP01_0008640",0,0,0,0
"PVP01_1414300",19,65,96,59
"PVP01_0804600",49,24,22,56
"PVP01_0817600",6687,4967,8728,3782
"PVP01_1207700",2380,1611,1448,1579
"PVP01_1438200",20,7,26,15
